Complaint,Category,Subcategory,Priority
The noise complaints related to events is not working Needs urgent review.,Public Events,Noise Complaints Related to Events,Critical
There is an issue with the noise complaints related to events Needs urgent review.,Public Events,Noise Complaints Related to Events,Low
The noise complaints related to events needs attention.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events has minor problems Can someone check?,Public Events,Noise Complaints Related to Events,Low
I saw a small problem in the noise complaints related to events Not working as it should.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events seems broken Might be dangerous.,Public Events,Noise Complaints Related to Events,Medium
The noise complaints related to events needs attention Please fix it.,Public Events,Noise Complaints Related to Events,Critical
I saw a small problem in the noise complaints related to events Needs attention.,Public Events,Noise Complaints Related to Events,Critical
Noise Complaints Related to Events is not functioning well Urgent check needed.,Public Events,Noise Complaints Related to Events,Critical
The noise complaints related to events needs attention Can someone check?,Public Events,Noise Complaints Related to Events,Critical
Noise Complaints Related to Events is slightly malfunctioning Urgent check needed.,Public Events,Noise Complaints Related to Events,High
Reported a minor issue in noise complaints related to events Needs urgent review.,Public Events,Noise Complaints Related to Events,Medium
Noise Complaints Related to Events has minor problems Needs urgent review.,Public Events,Noise Complaints Related to Events,Medium
Noise Complaints Related to Events has minor problems Please fix it.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events is slightly malfunctioning Can someone check?,Public Events,Noise Complaints Related to Events,Critical
There is an issue with the noise complaints related to events Might be dangerous.,Public Events,Noise Complaints Related to Events,High
The noise complaints related to events is not working Not working as it should.,Public Events,Noise Complaints Related to Events,Low
The noise complaints related to events is not working Please fix it.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events is not functioning well Needs attention.,Public Events,Noise Complaints Related to Events,Critical
Something isn't right with the noise complaints related to events Might be dangerous.,Public Events,Noise Complaints Related to Events,High
Noise Complaints Related to Events is not functioning well Needs urgent review.,Public Events,Noise Complaints Related to Events,High
There is an issue with the noise complaints related to events Can someone check?,Public Events,Noise Complaints Related to Events,Critical
Noise Complaints Related to Events is not functioning well Not working as it should.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events is slightly malfunctioning Not working as it should.,Public Events,Noise Complaints Related to Events,Critical
Noise Complaints Related to Events is not functioning well Can someone check?,Public Events,Noise Complaints Related to Events,Medium
The noise complaints related to events needs attention Might be dangerous.,Public Events,Noise Complaints Related to Events,Critical
The noise complaints related to events is not working,Public Events,Noise Complaints Related to Events,Medium
Noise Complaints Related to Events is not functioning well Please fix it.,Public Events,Noise Complaints Related to Events,High
The noise complaints related to events needs attention Not working as it should.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events is slightly malfunctioning Please fix it.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events is not functioning well Needs quick inspection.,Public Events,Noise Complaints Related to Events,Low
Reported a minor issue in noise complaints related to events,Public Events,Noise Complaints Related to Events,Low
There is an issue with the noise complaints related to events.,Public Events,Noise Complaints Related to Events,High
Reported a minor issue in noise complaints related to events Please fix it.,Public Events,Noise Complaints Related to Events,Medium
Noise Complaints Related to Events seems broken Needs quick inspection.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events seems broken Needs attention.,Public Events,Noise Complaints Related to Events,Low
I saw a small problem in the noise complaints related to events Can someone check?,Public Events,Noise Complaints Related to Events,Critical
Noise Complaints Related to Events has minor problems Needs attention.,Public Events,Noise Complaints Related to Events,High
Noise Complaints Related to Events has minor problems Might be dangerous.,Public Events,Noise Complaints Related to Events,Critical
Noise Complaints Related to Events seems broken Please fix it.,Public Events,Noise Complaints Related to Events,Low
Noise Complaints Related to Events seems broken Can someone check?,Public Events,Noise Complaints Related to Events,Critical
Something isn't right with the noise complaints related to events Can someone check?,Public Events,Noise Complaints Related to Events,Medium
Noise Complaints Related to Events is slightly malfunctioning Needs quick inspection.,Public Events,Noise Complaints Related to Events,Critical
There is an issue with the noise complaints related to events Not working as it should.,Public Events,Noise Complaints Related to Events,High
Noise Complaints Related to Events has minor problems Not working as it should.,Public Events,Noise Complaints Related to Events,Critical
Noise Complaints Related to Events seems broken.,Public Events,Noise Complaints Related to Events,High
The noise complaints related to events needs attention Needs urgent review.,Public Events,Noise Complaints Related to Events,Medium
Safety Concerns at Events is slightly malfunctioning Urgent check needed.,Public Events,Safety Concerns at Events,Low
Something isn't right with the safety concerns at events Needs urgent review.,Public Events,Safety Concerns at Events,High
Safety Concerns at Events is not functioning well Might be dangerous.,Public Events,Safety Concerns at Events,Low
I saw a small problem in the safety concerns at events Needs attention.,Public Events,Safety Concerns at Events,Critical
Safety Concerns at Events has minor problems Can someone check?,Public Events,Safety Concerns at Events,High
